,number,value,params_k_1_init,params_k_2_init,params_kt_1_init,params_kt_2_init,state
103,103,5574434642627.083,20340452.19208652,73702172.11158419,15917846.14472907,39488482.93074646,COMPLETE
104,104,5574434642627.083,22856933.047900777,74440277.302193,15138942.498091243,56513102.63026924,COMPLETE
105,105,5574434642627.083,97284804.20328286,58644841.832958646,15693606.935532294,40859785.969405554,COMPLETE
106,106,5574434642627.083,95273403.87709917,87240806.49755816,15282475.47952797,41240721.68394949,COMPLETE
107,107,38137713691212.67,38970797.40728298,86455390.65658298,8582504.802567035,49132335.69987258,COMPLETE
108,108,33808090814291.17,7040144.189264302,86838896.58599792,8596415.227731388,48127434.5965863,COMPLETE
109,109,18940641252750.117,53056940.44111437,87077192.43664104,9041955.801813982,48052791.308630325,COMPLETE
110,110,21076148405118.555,37789651.65100613,86738817.04803784,8964119.202213444,47550494.93188716,COMPLETE
111,111,517725014462706.06,38203987.78770119,84182452.87012616,6063987.6014627,44131805.17078108,COMPLETE
112,112,678935833745246.8,58280080.50232681,77925348.94330943,5724042.157337426,72032769.49457839,COMPLETE
113,113,5574434642627.083,58378659.82562713,83465705.61517961,11954856.428686358,45154291.546017736,COMPLETE
114,114,5574434642627.083,57854122.82609475,82499572.2214387,12188245.34456537,45399733.685733415,COMPLETE
115,115,581832119465341.1,52947876.13126735,34251779.42561631,5914396.211185656,66337341.5409319,COMPLETE
116,116,5574434642627.083,53855191.61877776,81469816.51366004,34269469.647998706,64478484.71697135,COMPLETE
117,117,839326341950099.8,67518552.58704135,82344450.39679044,5449456.586587068,66211354.692821026,COMPLETE
118,118,5574434642627.083,55668656.79064614,83519693.15662482,11996686.6632449,67622370.91326703,COMPLETE
119,119,640596709843461.6,55573038.6175561,77633238.07515876,5795204.557118691,67422081.21224721,COMPLETE
120,120,5574434642627.083,55174521.67907533,78155793.14899783,35395826.22932702,66328887.250602394,COMPLETE
121,121,5574434642627.083,73626495.59056047,77952932.83973286,33484405.422314193,71784051.76476675,COMPLETE
122,122,3282879935674.316,54581434.42566618,78177976.07545868,1924217.7844355162,71800431.3739434,COMPLETE
123,123,34096267122136.156,55899543.69025263,89640709.72753508,1774385.706978254,66629477.78541884,COMPLETE
124,124,3058654642862.8184,54734464.665565476,77535279.01566932,1536713.4466665185,75762757.61868414,COMPLETE
125,125,5574434642627.083,46945903.13518989,67505924.66798672,54255267.66516216,59240491.73294215,COMPLETE
126,126,3787575878868.6763,74825966.34730604,94306685.10371527,1151109.6858444775,63302141.11564574,COMPLETE
127,127,7129256535409.05,77316316.95957392,90867067.79778534,1581444.5089718106,60094330.8415515,COMPLETE
128,128,4481969909501.191,78051964.57463022,90037198.99687341,1688886.1008681345,59814219.1205207,COMPLETE
129,129,3556799895800.1436,50581736.23029999,94353704.10772745,1495831.2485250703,63089320.4999201,COMPLETE
130,130,4061849715219.898,48070132.769991666,89964994.86336765,1417338.1763332756,62897070.41625662,COMPLETE
131,131,4218327213719.9165,42750841.20386275,94428167.13508587,1641927.3157738945,74143068.68757576,COMPLETE
132,132,2380983831935.88,527951.1503704088,93829612.99146417,1766760.2866321113,75508109.58147654,COMPLETE
133,133,10576546977698.76,380804.0051549288,95180951.01868962,62069319.42585418,81673523.57683255,COMPLETE
134,134,5574434642627.083,42579455.69282255,94242193.86575508,42560957.37894599,75172902.68923955,COMPLETE
135,135,187355903326442.3,42069197.917018406,71305228.57272184,7214454.238421946,74830092.31339234,COMPLETE
136,136,3193562584828.692,41635540.37758466,94776109.88863733,218577.17986705987,81415405.40409575,COMPLETE
137,137,3996458825745.708,42537790.72537021,94193342.7748169,198036.38317288997,75110508.57938272,COMPLETE
138,138,2946610996706.3413,51713580.4971456,98213400.45440209,211551.86991088465,68864259.01416813,COMPLETE
139,139,10699919468764.35,50855314.91636511,97485446.19175948,6337.548652020749,36041273.72304726,COMPLETE
140,140,3150123335675.147,50656815.648341365,98546216.26061969,4150368.4075846244,97108784.49646033,COMPLETE
141,141,5574434642627.083,51834998.55055256,98465744.07449734,77948493.5137611,63442535.08805002,COMPLETE
142,142,3120441333624.0547,51950274.60588226,97718956.49734917,4405000.812516043,54744256.57871022,COMPLETE
143,143,4211289385831.7954,45483997.91532616,46440413.747838974,4571252.070517081,70033173.24422404,COMPLETE
144,144,4979611559888.032,3282658.32187545,98566292.06551044,4879829.165044639,71326740.23678835,COMPLETE
145,145,4373244360074.9004,6281367.387777573,97309165.29732992,4462119.746667758,96942804.1215429,COMPLETE
146,146,5501424022392.584,4666522.923779592,97998992.52874213,4249346.506400542,80503052.35073277,COMPLETE
147,147,169963024755004.9,4873584.926615159,97684602.22474541,4318801.404782428,71609693.05166309,COMPLETE
148,148,7205700668346.949,5302004.235931713,97019880.13521838,3894996.217125333,94938594.77286626,COMPLETE
149,149,3274172903176.177,49866469.84730046,98068486.90624404,4063842.412263791,86808185.59969284,COMPLETE
150,150,3178316360616.5996,48403734.865021,97189410.88370575,4457296.681216544,80676532.29290253,COMPLETE
151,151,2946442286128483.0,47663289.322897576,99764229.21712747,3884450.295523051,12313197.652057208,COMPLETE
152,152,193342548780673.28,49914791.07154073,90937369.23591924,7183718.984260956,80226515.64803138,COMPLETE
153,153,99553444051355.89,49202092.31699253,96556190.04153982,7810906.176637208,96751642.36649194,COMPLETE
154,154,189745630792420.16,49285172.57513945,75319195.61893584,7200742.884516947,79644541.78708376,COMPLETE
155,155,32578214009257.49,50080575.64806938,92692570.09572357,8705997.544693787,50344641.014351375,COMPLETE
156,156,235280423202544.88,45437492.40529204,91537221.14720237,6981407.21656574,99782960.81669788,COMPLETE
157,157,195600194516797.38,45789829.173010804,92344093.69178915,7171810.655892835,99824986.99701533,COMPLETE
158,158,342508068775102.5,46054177.578482896,91440882.00931664,6560016.247822286,76384339.376611,COMPLETE
159,159,6228361165865.524,51502935.06617206,92202758.13874203,2547864.9864886617,86372089.22465345,COMPLETE
160,160,8032946358307.395,44872109.16572359,76037292.44351164,2313664.7595731714,86929276.24443156,COMPLETE
161,161,5547198994884.41,60979831.534867354,99895480.81251298,2383396.3557147654,76256777.64466378,COMPLETE
162,162,8400317278210.13,46341510.14692654,95156964.04949547,2587001.322583891,86472981.87807325,COMPLETE
163,163,649614996486021.0,52380686.67727694,99593670.21850836,2599682.8652778943,85739085.14058022,COMPLETE
164,164,10475267346753.24,53446626.536413714,99780910.20942067,19800.6618013822,86995264.8253121,COMPLETE
165,165,5458423568505.537,52313069.29351356,99849969.04548948,2503674.8767641373,86979148.06662716,COMPLETE
166,166,4459315705196.256,52569354.7944309,95554929.07710096,2123825.519375344,84990940.08550702,COMPLETE
167,167,5452298657444.285,51698430.56957056,96150840.0936877,2290018.1213461696,88361749.55914019,COMPLETE
168,168,5500760647904.545,53696127.65125098,95439613.46921158,2439234.7151585096,88042590.47690788,COMPLETE
169,169,6631822333518.6455,53296625.865804054,95813641.35241012,9945413.729073513,81825616.307127,COMPLETE
170,170,5387030825319.109,40290482.93746756,95453228.63188237,9790223.106678605,54695577.58329955,COMPLETE
171,171,2516019549595.94,40412260.61681945,95586307.49674973,435889.76538013737,54390731.38987216,COMPLETE
172,172,1055234491000721.0,48398211.18228624,93172873.130962,5152037.299218409,19594657.48749769,COMPLETE
173,173,5627262214043.881,48195215.62909797,93896459.32784696,119934.83841119078,55032340.78276777,COMPLETE
174,174,5574434642627.083,47868820.743046485,93296411.85648605,72950172.80164407,82618908.62318589,COMPLETE
175,175,4118589395336.0913,54251200.79828436,88535884.59651498,277353.0420600651,83624600.02286196,COMPLETE
176,176,5568283289895.505,59495646.62452346,88438309.74746867,485824.9809570266,72519429.68719047,COMPLETE
177,177,10302215727520.322,59414371.574887514,79426120.44017367,9897.802262512821,73074017.1284298,COMPLETE
178,178,4561429409772.711,60132339.46932604,88156642.77583668,168210.65806483114,72738580.92411076,COMPLETE
179,179,7578114580048.312,59967179.847709216,79464698.90136603,259501.80072328262,72900465.8286679,COMPLETE
180,180,6344388051051.389,59879164.41248817,80641241.07742491,50717.34296791116,69277997.6076207,COMPLETE
181,181,391292749578054.7,60081557.7250921,80014549.04039985,5112051.494100239,69283831.19278017,COMPLETE
182,182,1129709009379796.0,56470907.74127949,154106.71345730126,5036844.601349537,91772026.06064379,COMPLETE
183,183,10072937107975.277,33328628.230882216,85373067.69173276,4778067.508205708,78756824.65257621,COMPLETE
184,184,99718994726869.98,35607522.41677433,84965083.91100882,5282687.590656292,77972578.75571546,COMPLETE
185,185,71088872367374.55,31004130.068843894,85620617.8686424,5298529.749881868,49975820.76356426,COMPLETE
186,186,3144327952706.9316,43775604.36828442,85170190.5438725,4179725.421326367,57600367.01300896,COMPLETE
187,187,3121836153846.774,44111609.966022454,71665605.16432187,3897680.1983226533,58085149.83550364,COMPLETE
188,188,2497936000906156.5,36069734.53453921,84729771.48383568,4075529.452815464,51469340.23189315,COMPLETE
